open,open close,close,area,adress,name,category,mub
20160428,03,20170412,49.50,중구 삼덕동1가 0017-0015번지 지상3층 ,잉크아지트(INKAzit),커피숍,N
20200117,03,20200615,1.44,중구 대신동 0115-0038번지 서문야시장판매대 56호,인생똥집,일반조리판매,N
20200117,03,20200507,1.44,중구 대신동 0115-0038번지 서문야시장판매대 57호,야한오빠통삼겹김밥,일반조리판매,N
20150423,03,20210729,62.37,중구 삼덕동2가 0278-0002 ,브래킷,커피숍,N
20200102,03,20210513,61.23,중구 남산동 0585-0016 ,일구팔일공방,커피숍,N
20200103,03,20210120,1.44,중구 대신동 0115-0038 서문야시장 판매대 제66호 ,커피에어로프레스,커피숍,N
20191230,03,20210701,144.21,중구 남산동 0585-0016 ,일구팔일카페,커피숍,N
20191226,03,20200108,,중구 봉산동 0153-0012번지 ,동성로왕찹쌀꽈배기,패스트푸드,N
20191226,03,20200720,1.44,중구 대신동 0115-0038 9호,안녕반쎄오,패스트푸드,N
20200121,03,20210122,1.44,중구 대신동 0115-0038 서문야시장판매대 7호,꼬치피다,일반조리판매,N
20200114,03,20200129,16.50,중구 공평동 0058-0006번지 ,에그셀런트,일반조리판매,N
20200114,03,20200615,7.94,중구 공평동 0058-0006번지 ,커피콜,일반조리판매,N
20200114,03,20200623,1.44,중구 대신동 0115-0038번지 서문야시장판매대 45호,용갈탕슉,일반조리판매,N
20200108,03,20200714,1.44,중구 대신동 0115-0038 서문야시장판매대 제9호 ,HIP 서문닭발&새우,일반조리판매,N
20200203,03,20201026,37.20,중구 대봉동 0044-0010 청운맨션상가 ,채움김밥&죽,일반조리판매,N
20200107,03,20210107,1.44,중구 대신동 0115-0038 서문야시장 판매대 54호,손새우만두,기타 휴게음식점,N
20200113,03,20200513,19.87,중구 공평동 0058-0006번지 ,끄리도라면,일반조리판매,N
20200131,03,20210118,8.07,중구 공평동 0058-0006 ,신불떡볶이,일반조리판매,N
20200330,03,20200410,,중구 계산동2가 0200번지 현대백화점식품관 ,다품은,백화점,N
20080722,03,20080806,3.00,중구 동인동4가 0386-0003번지 지상1층 ,종이와연필,기타 휴게음식점,N
